sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,utcoff,stationid,New Station
IMPACTS_UConn,NA,NA,41.818175,-72.258149,N,528,346,0,41.818175,-72.258149,NA,NA,1543,TRUE
Neumayer3_TROPOS,NA,NA,-70.665278,-8.28367,N,78,550,0,-70.665278,-8.28367,NA,NA,1544,TRUE
Hel_IGF,NA,NA,54.603,18.813,N,579,637,0,54.603,18.813,NA,NA,1545,TRUE
Riyadh_Airport_SDSC,NA,NA,24.925833,46.72171,N,461,727,0,24.925833,46.72171,NA,NA,1546,TRUE
Rafha_Airport_SDSC,NA,NA,29.62195,43.49336,N,479,716,0,29.62195,43.49336,NA,NA,1547,TRUE
RdP-EsNM,NA,NA,-34.818,-57.8959,N,222,392,0,-34.818,-57.8959,NA,NA,1548,TRUE
CASP_Watkins_CO_USA,NA,NA,39.786017,-104.531911,N,520,242,0,39.786017,-104.531911,NA,NA,1549,TRUE
Aosta,NA,NA,45.7422,7.357,N,544,601,0,45.7422,7.357,NA,NA,1550,TRUE
Paranal_basecamp,NA,NA,-24.640915,-70.387045,N,262,352,0,-24.640915,-70.387045,NA,NA,1551,TRUE
Chiwaukee_Prairie,NA,NA,42.5047,-87.8093,N,531,296,0,42.5047,-87.8093,NA,NA,1552,TRUE
Howard_Univ-IRB,NA,NA,38.919424,-77.021542,N,517,331,0,38.919424,-77.021542,NA,NA,1553,TRUE
Pinnacles_PIAU,NA,NA,-30.583611,115.155,N,239,945,0,-30.583611,115.155,NA,NA,1554,TRUE
WC_Whittier_CA,NA,NA,33.9678,-118.0299,N,497,199,0,33.9678,-118.0299,NA,NA,1555,TRUE
NPU_Chicago_IL,NA,NA,41.9748,-87.712,N,529,296,0,41.9748,-87.712,NA,NA,1556,TRUE
Turlock_CA_USA,NA,NA,37.52387,-120.85586,N,511,190,0,37.52387,-120.85586,NA,NA,1557,TRUE
VCURRC_CharlesCity,NA,NA,37.326192,-77.205661,N,510,330,0,37.326192,-77.205661,NA,NA,1558,TRUE
Kuching_Swinburne,NA,NA,1.5317,110.3567,N,367,930,0,1.5317,110.3567,NA,NA,1559,TRUE
Selegua_BSRN,NA,NA,15.783889,-91.99021,N,424,283,0,15.783889,-91.99021,NA,NA,1560,TRUE
Canchones,NA,NA,-20.4441,-69.5326,N,279,354,0,-20.4441,-69.5326,NA,NA,1561,TRUE
