sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,locationId,country,sensorType,continent,sensorId
Geraldine,New Zealand,Geraldine,-44.100188,171.241443,Y,185,1125,,-44.100188,171.241443,,103282,884467,NZ,reference grade,unknown,4856999
CANYON,United States,Nampa Ridgecrest,43.59934,-116.52887,Y,535,204,,43.59934,-116.52887,,103283,887649,US,reference grade,north_america,4875211
CA_54,Canada,Buffalo Narrows,55.83473,-108.40377,Y,584,230,,55.83473,-108.40377,,103284,921002,CA,reference grade,north_america,5077817
Phoenix_Mesa_Scottsdale_7,United States,Eastwood,33.41046,-112.002642,Y,495,219,,33.41046,-112.002642,,103285,921006,US,reference grade,north_america,5077808
CA_55,Canada,Estevan,49.132333,-102.985056,Y,558,247,,49.132333,-102.985056,,103286,921007,CA,reference grade,north_america,5077850
CA_56,Canada,Horseshoe Bay,49.368,-123.277,Y,558,183,,49.368,-123.277,,103287,921011,CA,reference grade,north_america,5077628
CUSTER,United States,Miles City,46.411444,-105.812694,Y,547,238,,46.411444,-105.812694,,103288,921013,US,reference grade,north_america,5077844
Trenton_Ewing,United States,Trenton,40.222421,-74.763167,Y,522,338,,40.222421,-74.763167,,103290,921018,US,reference grade,north_america,5077833
Winston_Salem,United States,Clemmons Middle,36.025981,-80.34225,Y,505,320,,36.025981,-80.34225,,103291,921020,US,reference grade,north_america,5077893
Winston_Salem_2,United States,Hattie Avenue,36.110933,-80.224411,Y,505,320,,36.110933,-80.224411,,103292,921021,US,reference grade,north_america,5077904
Chattanooga,United States,3A-PM2.5,35.051006,-85.292867,Y,501,304,,35.051006,-85.292867,,103293,921022,US,reference grade,north_america,5077911
BONNER,United States,Sandpoint,48.272,-116.569,Y,554,204,,48.272,-116.569,,103294,922198,US,reference grade,north_america,5085755
Timaru_2,New Zealand,Anzac Square,-44.404486,171.249643,Y,183,1125,,-44.404486,171.249643,,103295,922546,NZ,reference grade,unknown,5087634
ALBERTA_9,Canada,Drayton Valley,53.22,-114.9833,Y,574,209,,53.22,-114.9833,,103296,928503,CA,reference grade,north_america,5119241
BUTLER,United States,BPG,39.478686,-84.397112,Y,519,307,,39.478686,-84.397112,,103297,930188,US,reference grade,north_america,5128037
BUTLER_2,United States,Ohio Bell,39.49072,-84.36374,Y,519,307,,39.49072,-84.36374,,103298,930189,US,reference grade,north_america,5128038
BIBB,United States,Macon Allied,32.77729,-83.6412,Y,492,309,,32.77729,-83.6412,,103299,1064907,US,reference grade,north_america,6228546
Kaiapoi,New Zealand,Kaiapoi,-43.384643,172.652,Y,187,1129,,-43.384643,172.652,,103300,1065352,NZ,reference grade,unknown,6231608
SCIOTO,United States,East Haverhill,38.59246,-82.80677,Y,515,312,,38.59246,-82.80677,,103301,1066093,US,reference grade,north_america,6236505
