sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,utcoff,Continent
Porto_Novo,Benin,Ouémé,6.4972,2.605,N,387,585,0,6.5,2.61,AAQE,1204172060,0,africa
Tarime,Tanzania,Mara,-1.35,34.3833,N,356,687,0,-1.35,34.38,AAQE,1834684619,0,africa
M_Sila,Algeria,M’sila,35.7019,4.5472,N,504,592,0,35.7,4.55,AAQE,1012857730,0,africa
Kipushi,Congo (Kinshasa),Haut-Katanga,-11.7625,27.25,N,314,664,0,-11.76,27.25,AAQE,1180810333,0,africa
Zagnanado,Benin,Zou,7.2667,2.35,N,390,585,0,7.27,2.35,AAQE,1204320194,0,africa
Okigwe,Nigeria,Imo,5.483,7.55,N,383,601,0,5.48,7.55,AAQE,1566951349,0,africa
Aware,Ethiopia,Sumalē,8.2667,44.15,N,394,718,0,8.27,44.15,AAQE,1231934049,0,africa
Chicomba,Angola,Huíla,-14.1333,14.9167,N,304,625,0,-14.13,14.92,AAQE,1024892795,0,africa
Jijel,Algeria,Jijel,36.8167,5.75,N,508,595,0,36.82,5.75,AAQE,1012782547,0,africa
Buea,Cameroon,South-West,4.1667,9.2333,N,378,607,0,4.17,9.23,AAQE,1120497849,0,africa
Bassila,Benin,Donga,9.0167,1.6667,N,397,582,0,9.02,1.67,AAQE,1204259496,0,africa
Relizane,Algeria,Relizane,35.7333,0.55,N,504,579,0,35.73,0.55,AAQE,1012939885,0,africa
Polokwane,South Africa,Limpopo,-23.9,29.45,N,265,671,0,-23.9,29.45,AAQE,1710908010,0,africa
Idanre,Nigeria,Ondo,7.0922,5.1322,N,389,593,0,7.09,5.13,AAQE,1566785839,0,africa
Chinguar,Angola,Bié,-12.55,16.3333,N,311,629,0,-12.55,16.33,AAQE,1024191137,0,africa
Antsiranana,Madagascar,Antsiranana,-12.2765,49.3115,N,312,735,0,-12.28,49.31,AAQE,1450106928,0,africa
Mansa,Zambia,Luapula,-11.2,28.8833,N,316,669,0,-11.2,28.88,AAQE,1894038366,0,africa
Jamaame,Somalia,Jubbada Hoose,0.0722,42.7506,N,361,714,0,0.07,42.75,AAQE,1706288768,0,africa
Harar,Ethiopia,Hārerī Hizb,9.3111,42.1278,N,398,712,0,9.31,42.13,AAQE,1231785978,0,africa
Mubi,Nigeria,Adamawa,10.2667,13.2667,N,402,619,0,10.27,13.27,AAQE,1566265170,0,africa
Saida,Algeria,Saïda,34.8333,0.15,N,500,577,0,34.83,0.15,AAQE,1012285874,0,africa
Avrankou,Benin,Ouémé,6.55,2.6667,N,387,586,0,6.55,2.67,AAQE,1204861603,0,africa
Abaji,Nigeria,Federal Capital Territory,8.4756,6.9433,N,395,599,0,8.48,6.94,AAQE,1566650592,0,africa
Worcester,South Africa,Western Cape,-33.645,19.4436,N,226,639,0,-33.65,19.44,AAQE,1710498245,0,africa
Allada,Benin,Atlantique,6.65,2.15,N,388,584,0,6.65,2.15,AAQE,1204001429,0,africa
Kayes,Mali,Kayes,14.4497,-11.4367,N,419,540,0,14.45,-11.44,AAQE,1466546429,0,africa
Koforidua,Ghana,Eastern,6.1,-0.2667,N,385,576,0,6.1,-0.27,AAQE,1288961962,0,africa
Misserete,Benin,Ouémé,6.5625,2.5853,N,387,585,0,6.56,2.59,AAQE,1204481663,0,africa
Oume,Côte d’Ivoire,Gôh-Djiboua,6.3833,-5.4167,N,387,560,0,6.38,-5.42,AAQE,1384920146,0,africa
Guelmim,Morocco,Guelmim-Oued Noun,28.9833,-10.0667,N,477,545,0,28.98,-10.07,AAQE,1504110861,0,africa
Catabola,Angola,Bié,-12.1167,17.3,N,313,632,0,-12.12,17.3,AAQE,1024994288,0,africa
My_Drarga,Morocco,Souss-Massa,30.38,-9.48,N,483,547,0,30.38,-9.48,AAQE,1504399163,0,africa
Suhum,Ghana,Eastern,6.0409,-0.45,N,385,576,0,6.04,-0.45,AAQE,1288836102,0,africa
Jijiga,Ethiopia,Sumalē,9.35,42.8,N,398,714,0,9.35,42.8,AAQE,1231737909,0,africa
Rosetta,Egypt,Al Buḩayrah,31.4014,30.4194,N,487,674,0,31.4,30.42,AAQE,1818868679,0,africa
Sakiet_ed_Daier,Tunisia,Sfax,34.8,10.78,N,500,611,0,34.8,10.78,AAQE,1788449518,0,africa
